,Manufacturer,Model,Sales_in_thousands,__year_resale_value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor,Make
0,Acura,Integra,16.919,16.36,Passenger,21.5,1.8,140.0,101.2,67.3,172.4,2.639,13.2,28.0,2/2/2012,58.28014952,Acura-Integra
1,Acura,TL,39.384,19.875,Passenger,28.4,3.2,225.0,108.1,70.3,192.9,3.517,17.2,25.0,6/3/2011,91.37077766,Acura-TL
3,Acura,RL,8.588,29.725,Passenger,42.0,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22.0,3/10/2011,91.38977933,Acura-RL
4,Audi,A4,20.397000000000002,22.255,Passenger,23.99,1.8,150.0,102.6,68.2,178.0,2.998,16.4,27.0,10/8/2011,62.777639199999996,Audi-A4
5,Audi,A6,18.78,23.555,Passenger,33.95,2.8,200.0,108.7,76.1,192.0,3.5610000000000004,18.5,22.0,8/9/2011,84.56510502,Audi-A6
6,Audi,A8,1.38,39.0,Passenger,62.0,4.2,310.0,113.0,74.0,198.2,3.9019999999999997,23.7,21.0,2/27/2012,134.6568582,Audi-A8
8,BMW,328i,9.231,28.675,Passenger,33.4,2.8,193.0,107.3,68.5,176.0,3.197,16.6,24.0,1/29/2012,81.87706856,BMW-328i
9,BMW,528i,17.527,36.125,Passenger,38.9,2.8,193.0,111.4,70.9,188.0,3.472,18.5,25.0,4/4/2011,83.99872380000001,BMW-528i
10,Buick,Century,91.561,12.475,Passenger,21.975,3.1,175.0,109.0,72.7,194.6,3.3680000000000003,17.5,25.0,11/2/2011,71.18145132,Buick-Century
11,Buick,Regal,39.35,13.74,Passenger,25.3,3.8,240.0,109.0,72.7,196.2,3.543,17.5,23.0,9/3/2011,95.63670253,Buick-Regal
12,Buick,Park Avenue,27.851,20.19,Passenger,31.965,3.8,205.0,113.8,74.7,206.8,3.778,18.5,24.0,3/23/2012,85.82840825,Buick-Park Avenue
13,Buick,LeSabre,83.257,13.36,Passenger,27.885,3.8,205.0,112.2,73.5,200.0,3.591,17.5,25.0,7/23/2011,84.25452581,Buick-LeSabre
14,Cadillac,DeVille,63.729,22.525,Passenger,39.895,4.6,275.0,115.3,74.5,207.2,3.978,18.5,22.0,2/23/2012,113.8545976,Cadillac-DeVille
16,Cadillac,Eldorado,6.5360000000000005,25.725,Passenger,39.665,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22.0,11/27/2011,113.7658739,Cadillac-Eldorado
17,Cadillac,Catera,11.185,18.225,Passenger,31.01,3.0,200.0,107.4,70.3,194.8,3.77,18.0,22.0,9/28/2011,83.48309358,Cadillac-Catera
19,Chevrolet,Cavalier,145.519,9.25,Passenger,13.26,2.2,115.0,104.1,67.9,180.9,2.676,14.3,27.0,8/17/2011,46.36334747,Chevrolet-Cavalier
20,Chevrolet,Malibu,135.126,11.225,Passenger,16.535,3.1,170.0,107.0,69.4,190.4,3.051,15.0,25.0,3/19/2012,67.31446216,Chevrolet-Malibu
21,Chevrolet,Lumina,24.629,10.31,Passenger,18.89,3.1,175.0,107.5,72.5,200.9,3.33,16.6,25.0,5/24/2011,69.99139559999999,Chevrolet-Lumina
22,Chevrolet,Monte Carlo,42.593,11.525,Passenger,19.39,3.4,180.0,110.5,72.7,197.9,3.34,17.0,27.0,12/22/2011,72.03091719,Chevrolet-Monte Carlo
23,Chevrolet,Camaro,26.401999999999997,13.025,Passenger,24.34,3.8,200.0,101.1,74.1,193.2,3.5,16.8,25.0,10/23/2011,81.11854333,Chevrolet-Camaro
24,Chevrolet,Corvette,17.947,36.225,Passenger,45.705,5.7,345.0,104.5,73.6,179.7,3.21,19.1,22.0,5/12/2012,141.14115,Chevrolet-Corvette
25,Chevrolet,Prizm,32.299,9.125,Passenger,13.96,1.8,120.0,97.1,66.7,174.3,2.398,13.2,33.0,9/11/2011,48.297636100000005,Chevrolet-Prizm
26,Chevrolet,Metro,21.855,5.16,Passenger,9.235,1.0,55.0,93.1,62.6,149.4,1.895,10.3,45.0,4/13/2012,23.27627233,Chevrolet-Metro
28,Chrysler,Sebring Coupe,7.854,12.36,Passenger,19.84,2.5,163.0,103.7,69.7,190.9,2.967,15.9,24.0,1/16/2012,65.95718396,Chrysler-Sebring Coupe
29,Chrysler,Sebring Conv.,32.775,14.18,Passenger,24.495,2.5,168.0,106.0,69.2,193.0,3.332,16.0,24.0,11/17/2011,69.52135505,Chrysler-Sebring Conv.
30,Chrysler,Concorde,31.148000000000003,13.725,Passenger,22.245,2.7,200.0,113.0,74.4,209.1,3.452,17.0,26.0,6/6/2012,80.02378204,Chrysler-Concorde
31,Chrysler,Cirrus,32.306,12.64,Passenger,16.48,2.0,132.0,108.0,71.0,186.0,2.911,16.0,27.0,10/6/2011,53.56619987,Chrysler-Cirrus
32,Chrysler,LHS,13.462,17.325,Passenger,28.34,3.5,253.0,113.0,74.4,207.7,3.5639999999999996,17.0,23.0,5/8/2012,101.3292807,Chrysler-LHS
35,Dodge,Neon,76.03399999999999,7.75,Passenger,12.64,2.0,132.0,105.0,74.4,174.4,2.5669999999999997,12.5,29.0,12/12/2011,52.08489875,Dodge-Neon
36,Dodge,Avenger,4.734,12.545,Passenger,19.045,2.5,163.0,103.7,69.1,190.2,2.8789999999999996,15.9,24.0,7/1/2012,65.65050834,Dodge-Avenger
37,Dodge,Stratus,71.186,10.185,Passenger,20.23,2.5,168.0,108.0,71.0,186.0,3.0580000000000003,16.0,24.0,10/31/2011,67.87610784,Dodge-Stratus
39,Dodge,Viper,0.9159999999999999,58.47,Passenger,69.725,8.0,450.0,96.2,75.7,176.7,3.375,19.0,16.0,8/7/2011,188.14432299999999,Dodge-Viper
40,Dodge,Ram Pickup,227.06099999999998,15.06,Car,19.46,5.2,230.0,138.7,79.3,224.2,4.47,26.0,17.0,3/6/2012,90.21170005,Dodge-Ram Pickup
41,Dodge,Ram Wagon,16.767,15.51,Car,21.315,3.9,175.0,109.6,78.8,192.6,4.245,32.0,15.0,1/6/2012,71.13529161,Dodge-Ram Wagon
42,Dodge,Ram Van,31.038,13.425,Car,18.575,3.9,175.0,127.2,78.8,208.5,4.298,32.0,16.0,7/26/2012,70.07832154,Dodge-Ram Van
43,Dodge,Dakota,111.31299999999999,11.26,Car,16.98,2.5,120.0,131.0,71.5,215.0,3.557,22.0,19.0,11/25/2011,49.64500177,Dodge-Dakota
45,Dodge,Caravan,181.74900000000002,12.025,Car,19.565,2.4,150.0,113.3,76.8,186.3,3.533,20.0,24.0,9/1/2011,61.22700031,Dodge-Caravan
46,Ford,Escort,70.227,7.425,Passenger,12.07,2.0,110.0,98.4,67.0,174.7,2.468,12.7,30.0,3/31/2012,44.08370946,Ford-Escort
47,Ford,Mustang,113.369,12.76,Passenger,21.56,3.8,190.0,101.3,73.1,183.2,3.2030000000000003,15.7,24.0,1/31/2012,76.50918456,Ford-Mustang
48,Ford,Contour,35.068000000000005,8.835,Passenger,17.035,2.5,170.0,106.5,69.1,184.6,2.7689999999999997,15.0,25.0,8/20/2012,67.35101072,Ford-Contour
49,Ford,Taurus,245.815,10.055,Passenger,17.885,3.0,155.0,108.5,73.0,197.6,3.3680000000000003,16.0,24.0,12/20/2011,62.5037395,Ford-Taurus
51,Ford,Crown Victoria,63.403,14.21,Passenger,22.195,4.6,200.0,114.7,78.2,212.0,3.908,19.0,21.0,9/26/2011,80.49953671,Ford-Crown Victoria
52,Ford,Explorer,276.747,16.64,Car,31.93,4.0,210.0,111.6,70.2,190.7,3.8760000000000003,21.0,19.0,4/25/2012,87.63549578,Ford-Explorer
53,Ford,Windstar,155.787,13.175,Car,21.41,3.0,150.0,120.7,76.6,200.9,3.761,26.0,21.0,2/25/2012,62.09504839,Ford-Windstar
54,Ford,Expedition,125.338,23.575,Car,36.135,4.6,240.0,119.0,78.7,204.6,4.808,26.0,16.0,9/14/2012,100.02480229999999,Ford-Expedition
55,Ford,Ranger,220.65,7.85,Car,12.05,2.5,119.0,117.5,69.4,200.7,3.0860000000000003,20.0,23.0,1/14/2012,47.38953131,Ford-Ranger
56,Ford,F-Series,540.561,15.075,Car,26.935,4.6,220.0,138.5,79.1,224.5,4.2410000000000005,25.1,18.0,8/16/2012,89.40193473,Ford-F-Series
57,Honda,Civic,199.685,9.85,Passenger,12.885,1.6,106.0,103.2,67.1,175.1,2.339,11.9,32.0,10/21/2011,42.87909734,Honda-Civic
58,Honda,Accord,230.90200000000002,13.21,Passenger,15.35,2.3,135.0,106.9,70.3,188.8,2.932,17.1,27.0,5/20/2012,54.26954829,Honda-Accord
59,Honda,CR-V,73.203,17.71,Car,20.55,2.0,146.0,103.2,68.9,177.6,3.219,15.3,24.0,3/21/2012,60.08796662,Honda-CR-V
60,Honda,Passport,12.855,17.525,Car,26.6,3.2,205.0,106.4,70.4,178.2,3.8569999999999998,21.1,19.0,10/9/2012,83.60250079999999,Honda-Passport
61,Honda,Odyssey,76.029,19.49,Car,26.0,3.5,210.0,118.1,75.6,201.2,4.288,20.0,23.0,2/8/2012,85.21769134,Honda-Odyssey
62,Hyundai,Accent,41.184,5.86,Passenger,9.699,1.5,92.0,96.1,65.7,166.7,2.24,11.9,31.0,9/10/2012,36.67228358,Hyundai-Accent
63,Hyundai,Elantra,66.692,7.825,Passenger,11.799000000000001,2.0,140.0,100.4,66.9,174.0,2.6260000000000003,14.5,27.0,11/15/2011,54.59004516,Hyundai-Elantra
64,Hyundai,Sonata,29.45,8.91,Passenger,14.999,2.4,148.0,106.3,71.6,185.4,3.072,17.2,25.0,6/14/2012,58.758249,Hyundai-Sonata
65,Infiniti,I30,23.713,19.69,Passenger,29.465,3.0,227.0,108.3,70.2,193.7,3.342,18.5,25.0,4/15/2012,92.43688923,Infiniti-I30
67,Jeep,Wrangler,55.556999999999995,13.475,Car,14.46,2.5,120.0,93.4,66.7,152.0,3.045,19.0,17.0,3/4/2012,48.67289791,Jeep-Wrangler
68,Jeep,Cherokee,80.556,13.775,Car,21.62,4.0,190.0,101.4,69.4,167.5,3.194,20.0,20.0,10/5/2012,76.58443962,Jeep-Cherokee
69,Jeep,Grand Cherokee,157.04,18.81,Car,26.895,4.0,195.0,105.9,72.3,181.5,3.88,20.5,19.0,12/10/2011,80.38777912,Jeep-Grand Cherokee
70,Lexus,ES300,24.072,26.975,Passenger,31.505,3.0,210.0,105.1,70.5,190.2,3.373,18.5,23.0,7/9/2012,87.21100104,Lexus-ES300
71,Lexus,GS300,12.698,32.075,Passenger,37.805,3.0,225.0,110.2,70.9,189.2,3.638,19.8,23.0,5/10/2012,94.9466984,Lexus-GS300
73,Lexus,LS400,6.375,40.375,Passenger,54.005,4.0,290.0,112.2,72.0,196.7,3.89,22.5,22.0,3/29/2012,124.44671629999999,Lexus-LS400
76,Lincoln,Continental,13.798,20.525,Passenger,39.08,4.6,275.0,109.0,73.6,208.5,3.8680000000000003,20.0,22.0,8/3/2012,113.54020690000002,Lincoln-Continental
77,Lincoln,Town car,48.911,21.725,Passenger,43.33,4.6,215.0,117.7,78.2,215.3,4.121,19.0,21.0,6/4/2012,93.95791690000001,Lincoln-Town car
79,Mitsubishi,Mirage,26.232,8.325,Passenger,13.987,1.8,113.0,98.4,66.5,173.6,2.25,13.2,30.0,4/23/2012,45.83218056,Mitsubishi-Mirage
80,Mitsubishi,Eclipse,42.541000000000004,10.395,Passenger,19.047,2.4,154.0,100.8,68.9,175.4,2.91,15.9,24.0,11/24/2012,62.44196235,Mitsubishi-Eclipse
81,Mitsubishi,Galant,55.61600000000001,10.595,Passenger,17.357,2.4,145.0,103.7,68.5,187.8,2.945,16.3,25.0,1/29/2012,58.60677292,Mitsubishi-Galant
82,Mitsubishi,Diamante,5.711,16.575,Passenger,24.997,3.5,210.0,107.1,70.3,194.1,3.443,19.0,22.0,8/28/2012,84.83077858,Mitsubishi-Diamante
83,Mitsubishi,3000GT,0.11,20.94,Passenger,25.45,3.0,161.0,97.2,72.4,180.3,3.1310000000000002,19.8,21.0,6/29/2012,67.54415494,Mitsubishi-3000GT
84,Mitsubishi,Montero,11.337,19.125,Car,31.807,3.5,200.0,107.3,69.9,186.6,4.52,24.3,18.0,1/17/2012,83.92081504,Mitsubishi-Montero
85,Mitsubishi,Montero Sport,39.348,13.88,Car,22.526999999999997,3.0,173.0,107.3,66.7,178.3,3.51,19.5,20.0,5/18/2012,70.66094179,Mitsubishi-Montero Sport
86,Mercury,Mystique,14.350999999999999,8.8,Passenger,16.24,2.0,125.0,106.5,69.1,184.8,2.7689999999999997,15.0,28.0,12/19/2012,50.99774761,Mercury-Mystique
87,Mercury,Cougar,26.529,13.89,Passenger,16.54,2.0,125.0,106.4,69.6,185.0,2.892,16.0,30.0,2/23/2012,51.11347426,Mercury-Cougar
88,Mercury,Sable,67.956,11.03,Passenger,19.035,3.0,153.0,108.5,73.0,199.7,3.3789999999999996,16.0,24.0,9/22/2012,62.23996663,Mercury-Sable
89,Mercury,Grand Marquis,81.17399999999999,14.875,Passenger,22.605,4.6,200.0,114.7,78.2,212.0,3.958,19.0,21.0,7/24/2012,80.65769646,Mercury-Grand Marquis
90,Mercury,Mountaineer,27.609,20.43,Car,27.56,4.0,210.0,111.6,70.2,190.1,3.8760000000000003,21.0,18.0,2/13/2008,85.94974425,Mercury-Mountaineer
91,Mercury,Villager,20.38,14.795,Car,22.51,3.3,170.0,112.2,74.9,194.7,3.944,20.0,21.0,10/20/2009,69.671461,Mercury-Villager
92,Mercedes-B,C-Class,18.392,26.05,Passenger,31.75,2.3,185.0,105.9,67.7,177.4,3.25,16.4,26.0,4/24/2011,78.28073088,Mercedes-B-C-Class
93,Mercedes-B,E-Class,27.601999999999997,41.45,Passenger,49.9,3.2,221.0,111.5,70.8,189.4,3.823,21.1,25.0,7/12/2011,98.2497375,Mercedes-B-E-Class
94,Mercedes-B,S-Class,16.774,50.375,Passenger,69.7,4.3,275.0,121.5,73.1,203.1,4.133,23.2,21.0,6/13/2011,125.2738757,Mercedes-B-S-Class
95,Mercedes-B,SL-Class,3.3110000000000004,58.6,Passenger,82.6,5.0,302.0,99.0,71.3,177.1,4.125,21.1,20.0,3/17/2011,139.9822936,Mercedes-B-SL-Class
101,Nissan,Sentra,42.643,8.45,Passenger,13.499,1.8,126.0,99.8,67.3,177.5,2.593,13.2,30.0,8/31/2011,50.24197791,Nissan-Sentra
102,Nissan,Altima,88.094,11.295,Passenger,20.39,2.4,155.0,103.1,69.1,183.5,3.012,15.9,25.0,8/2/2011,63.31372783,Nissan-Altima
103,Nissan,Maxima,79.85300000000001,15.125,Passenger,26.249000000000002,3.0,222.0,108.3,70.3,190.5,3.2939999999999996,18.5,25.0,5/6/2011,89.42782031,Nissan-Maxima
104,Nissan,Quest,27.308000000000003,15.38,Car,26.399,3.3,170.0,112.2,74.9,194.8,3.991,20.0,21.0,3/7/2011,71.17166413,Nissan-Quest
105,Nissan,Pathfinder,42.574,17.81,Car,29.299,3.3,170.0,106.3,71.7,182.6,3.947,21.0,19.0,9/25/2011,72.29035508,Nissan-Pathfinder
108,Oldsmobile,Cutlass,1.112,11.24,Passenger,18.145,3.1,150.0,107.0,69.4,192.0,3.102,15.2,25.0,5/31/2011,60.86161155,Oldsmobile-Cutlass
111,Oldsmobile,Aurora,14.69,19.89,Passenger,36.229,4.0,250.0,113.8,74.4,205.4,3.967,18.5,22.0,2/18/2011,103.4416926,Oldsmobile-Aurora
112,Oldsmobile,Bravada,20.017,19.925,Car,31.598000000000003,4.3,190.0,107.0,67.8,181.2,4.0680000000000005,17.5,19.0,9/21/2011,80.51167259,Oldsmobile-Bravada
113,Oldsmobile,Silhouette,24.361,15.24,Car,25.345,3.4,185.0,120.0,72.2,201.4,3.948,25.0,22.0,6/25/2011,76.09657042,Oldsmobile-Silhouette
114,Plymouth,Neon,32.734,7.75,Passenger,12.64,2.0,132.0,105.0,74.4,174.4,2.559,12.5,29.0,4/26/2011,52.08489875,Plymouth-Neon
115,Plymouth,Breeze,5.24,9.8,Passenger,16.08,2.0,132.0,108.0,71.0,186.3,2.9419999999999997,16.0,27.0,11/14/2011,53.41189767,Plymouth-Breeze
116,Plymouth,Voyager,24.155,12.025,Car,18.85,2.4,150.0,113.3,76.8,186.3,3.528,20.0,24.0,4/24/2011,60.95118512,Plymouth-Voyager
118,Pontiac,Sunfire,51.645,13.79,Passenger,21.61,2.4,150.0,104.1,68.4,181.9,2.906,15.0,27.0,1/25/2012,62.015870299999996,Pontiac-Sunfire
119,Pontiac,Grand Am,131.097,10.29,Passenger,19.72,3.4,175.0,107.0,70.4,186.3,3.091,15.2,25.0,11/26/2012,70.38973726,Pontiac-Grand Am
120,Pontiac,Firebird,19.910999999999998,17.805,Passenger,25.31,3.8,200.0,101.1,74.5,193.4,3.492,16.8,25.0,6/16/2012,81.49272616,Pontiac-Firebird
121,Pontiac,Grand Prix,92.36399999999999,14.01,Passenger,21.665,3.8,195.0,110.5,72.7,196.5,3.3960000000000004,18.0,25.0,10/15/2012,78.31816813,Pontiac-Grand Prix
122,Pontiac,Bonneville,35.945,13.225,Passenger,23.755,3.8,205.0,112.2,72.6,202.5,3.59,17.5,24.0,5/18/2011,82.6613556,Pontiac-Bonneville
124,Porsche,Boxter,8.982000000000001,41.25,Passenger,41.43,2.7,217.0,95.2,70.1,171.0,2.778,17.0,22.0,2/19/2012,93.4373307,Porsche-Boxter
125,Porsche,Carrera Coupe,1.28,60.625,Passenger,71.02,3.4,300.0,92.6,69.5,174.5,3.032,17.0,21.0,12/21/2012,134.3909754,Porsche-Carrera Coupe
126,Porsche,Carrera Cabrio,1.8659999999999999,67.55,Passenger,74.97,3.4,300.0,92.6,69.5,174.5,3.075,17.0,23.0,7/11/2011,135.91470959999998,Porsche-Carrera Cabrio
129,Saturn,SL,80.62,9.2,Passenger,10.685,1.9,100.0,102.4,66.4,176.9,2.332,12.1,33.0,8/16/2012,39.98642475,Saturn-SL
130,Saturn,SC,24.546,10.59,Passenger,12.535,1.9,100.0,102.4,66.4,180.0,2.367,12.1,33.0,3/16/2011,40.70007242,Saturn-SC
131,Saturn,SW,5.223,10.79,Passenger,14.29,1.9,124.0,102.4,66.4,176.9,2.452,12.1,31.0,1/15/2011,49.86577367,Saturn-SW
136,Toyota,Corolla,142.535,10.025,Passenger,13.107999999999999,1.8,120.0,97.0,66.7,174.0,2.42,13.2,33.0,4/11/2011,47.96897242,Toyota-Corolla
137,Toyota,Camry,247.99400000000003,13.245,Passenger,17.518,2.2,133.0,105.2,70.1,188.5,2.998,18.5,27.0,2/10/2011,54.37241965,Toyota-Camry
138,Toyota,Avalon,63.849,18.14,Passenger,25.545,3.0,210.0,107.1,71.7,191.9,3.417,18.5,26.0,8/31/2011,84.91189826,Toyota-Avalon
139,Toyota,Celica,33.269,15.445,Passenger,16.875,1.8,140.0,102.4,68.3,170.5,2.425,14.5,31.0,12/29/2012,56.49603034,Toyota-Celica
140,Toyota,Tacoma,84.087,9.575,Car,11.527999999999999,2.4,142.0,103.3,66.5,178.7,2.58,15.1,23.0,8/1/2011,55.29711658,Toyota-Tacoma
142,Toyota,RAV4,25.105999999999998,13.325,Car,16.887999999999998,2.0,127.0,94.9,66.7,163.8,2.668,15.3,27.0,5/6/2011,51.95510887,Toyota-RAV4
143,Toyota,4Runner,68.411,19.425,Car,22.288,2.7,150.0,105.3,66.5,183.3,3.44,18.5,23.0,3/7/2011,62.35557713,Toyota-4Runner
144,Toyota,Land Cruiser,9.835,34.08,Car,51.728,4.7,230.0,112.2,76.4,192.5,5.115,25.4,15.0,9/25/2011,102.52898420000001,Toyota-Land Cruiser
145,Volkswagen,Golf,9.761000000000001,11.425,Passenger,14.9,2.0,115.0,98.9,68.3,163.3,2.767,14.5,26.0,1/24/2011,46.94387676,Volkswagen-Golf
146,Volkswagen,Jetta,83.721,13.24,Passenger,16.7,2.0,115.0,98.9,68.3,172.3,2.853,14.5,26.0,8/27/2011,47.63823666,Volkswagen-Jetta
147,Volkswagen,Passat,51.102,16.725,Passenger,21.2,1.8,150.0,106.4,68.5,184.1,3.043,16.4,27.0,10/30/2012,61.70138136,Volkswagen-Passat
148,Volkswagen,Cabrio,9.568999999999999,16.575,Passenger,19.99,2.0,115.0,97.4,66.7,160.4,3.0789999999999997,13.7,26.0,5/31/2011,48.90737225,Volkswagen-Cabrio
149,Volkswagen,GTI,5.596,13.76,Passenger,17.5,2.0,115.0,98.9,68.3,163.3,2.762,14.6,26.0,4/1/2011,47.94684106,Volkswagen-GTI
